num,unique_num,sms_time_slot,table_name,dt
34836212,21263310,1,gdl_jrs_msg_parse,2019-03-24
132719175,83101433,4,gdl_jrs_msg_parse,2019-03-24
32742172,20059743,1,gdl_jrs_msg_parse,2019-03-25
1534136099,724340467,3,gdl_jrs_msg_parse,2019-03-25
56268926,39938337,2,gdl_jrs_msg_parse,2019-03-25
168483339,108859548,4,gdl_jrs_msg_parse,2019-03-25
12120195,9327828,1,gdl_jrs_msg_parse,2019-03-27
345013842,254389493,3,gdl_jrs_msg_parse,2019-03-27
21022505,17459861,2,gdl_jrs_msg_parse,2019-03-27
10479823,8245009,1,gdl_jrs_msg_parse,2019-03-28
3762608,3641759,3,gdl_jrs_msg_parse,2019-03-28
1,1,4,gdl_jrs_msg_parse,2019-03-28
10116253,9120874,2,gdl_jrs_msg_parse,2019-03-28
18941429,15810126,2,gdl_jrs_msg_parse,2019-03-31
12694054,9501139,1,gdl_jrs_msg_parse,2019-03-31
87685691,77561268,3,gdl_jrs_msg_parse,2019-03-31
1,1,4,gdl_jrs_msg_parse,2019-03-31
7878724,7127292,2,gdl_jrs_msg_parse,2019-04-01
1,1,4,gdl_jrs_msg_parse,2019-04-01
6003549,5252589,1,gdl_jrs_msg_parse,2019-04-01
3781942,3620187,2,gdl_jrs_msg_parse,2019-04-02
2942340,2896253,3,gdl_jrs_msg_parse,2019-04-02
5057407,4570846,1,gdl_jrs_msg_parse,2019-04-02
64455317,50703937,4,gdl_jrs_msg_parse,2019-04-03
43288762,33168751,2,gdl_jrs_msg_parse,2019-04-03
35079470,27945976,1,gdl_jrs_msg_parse,2019-04-03
736477942,480381915,3,gdl_jrs_msg_parse,2019-04-03
34564691,24438978,1,gdl_jrs_msg_parse,2019-04-04
1603489525,812267370,3,gdl_jrs_msg_parse,2019-04-04
140013350,96555861,4,gdl_jrs_msg_parse,2019-04-04
56371068,41436861,2,gdl_jrs_msg_parse,2019-04-04
45777333,33570012,2,gdl_jrs_msg_parse,2019-04-06
108390079,73983580,4,gdl_jrs_msg_parse,2019-04-06
1094597500,648599304,3,gdl_jrs_msg_parse,2019-04-06
32836534,23085819,1,gdl_jrs_msg_parse,2019-04-06
28794147,18892574,1,gdl_jrs_msg_parse,2019-04-07
929166654,554363801,3,gdl_jrs_msg_parse,2019-04-07
97662448,65213110,4,gdl_jrs_msg_parse,2019-04-07
42996233,30650136,2,gdl_jrs_msg_parse,2019-04-07
50147402,35818491,2,gdl_jrs_msg_parse,2019-04-08
125975691,86503851,4,gdl_jrs_msg_parse,2019-04-08
29276204,18982517,1,gdl_jrs_msg_parse,2019-04-08
1384239198,713951300,3,gdl_jrs_msg_parse,2019-04-08
49249598,36252583,2,gdl_jrs_msg_parse,2019-04-09
33891877,23867132,1,gdl_jrs_msg_parse,2019-04-09
120411768,81863105,4,gdl_jrs_msg_parse,2019-04-09
1379554953,718667463,3,gdl_jrs_msg_parse,2019-04-09
34605248,20908514,1,gdl_jrs_msg_parse,2019-04-10
1683798949,798052267,3,gdl_jrs_msg_parse,2019-04-10
187802493,129515831,4,gdl_jrs_msg_parse,2019-04-10
60335846,42867464,2,gdl_jrs_msg_parse,2019-04-10
58688326,41598835,2,gdl_jrs_msg_parse,2019-04-11
159545149,106155642,4,gdl_jrs_msg_parse,2019-04-11
33872086,21290718,1,gdl_jrs_msg_parse,2019-04-11
1695447817,816342765,3,gdl_jrs_msg_parse,2019-04-11
1693556590,789680532,3,gdl_jrs_msg_parse,2019-04-12
177791885,119524254,4,gdl_jrs_msg_parse,2019-04-12
62772597,44283202,2,gdl_jrs_msg_parse,2019-04-12
30610518,17805406,1,gdl_jrs_msg_parse,2019-04-12
32802560,19919665,1,gdl_jrs_msg_parse,2019-04-13
1385822668,701150180,3,gdl_jrs_msg_parse,2019-04-13
151230317,97818357,4,gdl_jrs_msg_parse,2019-04-13
57026061,40282163,2,gdl_jrs_msg_parse,2019-04-13
51828893,36082887,2,gdl_jrs_msg_parse,2019-04-14
1182304692,618416277,3,gdl_jrs_msg_parse,2019-04-14
135722513,86271612,4,gdl_jrs_msg_parse,2019-04-14
36133904,22418879,1,gdl_jrs_msg_parse,2019-04-14
57070521,40094254,2,gdl_jrs_msg_parse,2019-04-15
1850007813,881057211,3,gdl_jrs_msg_parse,2019-04-15
157918438,101751833,4,gdl_jrs_msg_parse,2019-04-15
32354521,19794190,1,gdl_jrs_msg_parse,2019-04-15
60034284,41805506,2,gdl_jrs_msg_parse,2019-04-16
34721442,21071392,1,gdl_jrs_msg_parse,2019-04-16
152263552,96107632,4,gdl_jrs_msg_parse,2019-04-16
1661399855,784296299,3,gdl_jrs_msg_parse,2019-04-16
33285816,20403435,1,gdl_jrs_msg_parse,2019-04-17
87760003,72732393,3,gdl_jrs_msg_parse,2019-04-17
3,3,4,gdl_jrs_msg_parse,2019-04-17
67661300,44841139,2,gdl_jrs_msg_parse,2019-04-17
68344584,47394214,2,gdl_jrs_msg_parse,2019-04-19
181595433,117977732,4,gdl_jrs_msg_parse,2019-04-19
34613160,20925188,1,gdl_jrs_msg_parse,2019-04-19
1797129595,808021684,3,gdl_jrs_msg_parse,2019-04-19
1409308102,697520477,3,gdl_jrs_msg_parse,2019-04-20
162023039,103766488,4,gdl_jrs_msg_parse,2019-04-20
60814391,42363690,2,gdl_jrs_msg_parse,2019-04-20
39091584,24448768,1,gdl_jrs_msg_parse,2019-04-20
45421259,29416493,1,gdl_jrs_msg_parse,2019-04-21
1286643524,648020086,3,gdl_jrs_msg_parse,2019-04-21
148438297,94730346,4,gdl_jrs_msg_parse,2019-04-21
66907012,48530609,2,gdl_jrs_msg_parse,2019-04-21
62387848,43647150,2,gdl_jrs_msg_parse,2019-04-22
1607997967,777815181,3,gdl_jrs_msg_parse,2019-04-22
150931621,97681661,4,gdl_jrs_msg_parse,2019-04-22
34820828,21391239,1,gdl_jrs_msg_parse,2019-04-22
161978206,105295713,4,gdl_jrs_msg_parse,2019-04-23
69044074,49316218,2,gdl_jrs_msg_parse,2019-04-23
1554810251,743474358,3,gdl_jrs_msg_parse,2019-04-23
31661176,18634996,1,gdl_jrs_msg_parse,2019-04-23
33107999,20514906,1,gdl_jrs_msg_parse,2019-04-24
1606315846,765233247,3,gdl_jrs_msg_parse,2019-04-24
186165401,121155899,4,gdl_jrs_msg_parse,2019-04-24
66325855,45882658,2,gdl_jrs_msg_parse,2019-04-24
60865535,41673183,2,gdl_jrs_msg_parse,2019-04-25
176781527,113737671,4,gdl_jrs_msg_parse,2019-04-25
