num,unique_num,channel,table_name,dt
3725432,2258261,3,gdl_jrs_msg_parse,2019-03-24
1297519077,602844397,0,gdl_jrs_msg_parse,2019-03-24
5603805,4156254,2,gdl_jrs_msg_parse,2019-03-24
5744316,4158536,2,gdl_jrs_msg_parse,2019-03-25
21418853,16630936,1,gdl_jrs_msg_parse,2019-03-25
4252253,2568068,3,gdl_jrs_msg_parse,2019-03-25
1760215114,770804108,0,gdl_jrs_msg_parse,2019-03-25
828675,649606,3,gdl_jrs_msg_parse,2019-03-27
911022,791256,2,gdl_jrs_msg_parse,2019-03-27
4835135,4444506,1,gdl_jrs_msg_parse,2019-03-27
371581710,267287351,0,gdl_jrs_msg_parse,2019-03-27
352857,328887,1,gdl_jrs_msg_parse,2019-03-28
59350,53822,2,gdl_jrs_msg_parse,2019-03-28
94180,84844,3,gdl_jrs_msg_parse,2019-03-28
23852298,19831693,0,gdl_jrs_msg_parse,2019-03-28
117724453,96677330,0,gdl_jrs_msg_parse,2019-03-31
254395,239183,2,gdl_jrs_msg_parse,2019-03-31
218730,192779,3,gdl_jrs_msg_parse,2019-03-31
1123597,1079624,1,gdl_jrs_msg_parse,2019-03-31
128923,125313,1,gdl_jrs_msg_parse,2019-04-01
35175,33739,3,gdl_jrs_msg_parse,2019-04-01
21937,20889,2,gdl_jrs_msg_parse,2019-04-01
13696239,12080993,0,gdl_jrs_msg_parse,2019-04-01
11634910,10819314,0,gdl_jrs_msg_parse,2019-04-02
17334,16898,2,gdl_jrs_msg_parse,2019-04-02
105406,103774,1,gdl_jrs_msg_parse,2019-04-02
24039,23478,3,gdl_jrs_msg_parse,2019-04-02
1730227,1494489,2,gdl_jrs_msg_parse,2019-04-03
7639896,6930992,1,gdl_jrs_msg_parse,2019-04-03
1266303,989135,3,gdl_jrs_msg_parse,2019-04-03
868665065,530487022,0,gdl_jrs_msg_parse,2019-04-03
17379386,14419223,1,gdl_jrs_msg_parse,2019-04-04
3451648,2507287,3,gdl_jrs_msg_parse,2019-04-04
4292627,3329291,2,gdl_jrs_msg_parse,2019-04-04
1809314973,856128781,0,gdl_jrs_msg_parse,2019-04-04
1260842678,691951060,0,gdl_jrs_msg_parse,2019-04-06
14605263,12198100,1,gdl_jrs_msg_parse,2019-04-06
2371530,1598865,3,gdl_jrs_msg_parse,2019-04-06
3781975,3014050,2,gdl_jrs_msg_parse,2019-04-06
2376578,1632458,3,gdl_jrs_msg_parse,2019-04-07
3583083,2853269,2,gdl_jrs_msg_parse,2019-04-07
1078999403,594541203,0,gdl_jrs_msg_parse,2019-04-07
