link,org_type,dt,overdue_amount,loan_amount,should_repay_amount,amount,balance,review_y,review_n,cnt,unique_num
07,19,20200601,,1285400.0,375352545559.71423,1326360035572.99,154674869353.35,0,0,289050831,184294644
06,21,20190801,41326736716.60861,,,,213579.10999999996,0,0,6994193,2522493
01,99,20190701,,,,,0.0,0,0,200847,157222
03,09,20201001,,,,,0.0,22234,27282,49516,43286
04,04,20200201,,202054010.46,,,0.0,0,0,540199,458304
04,18,20201001,,278709.44000000006,,,0.0,0,0,5637,5250
05,26,20190401,,,,,2414478.990000001,0,0,2631,1718
06,08,20200801,780276381.5400003,,,,0.0,0,0,413214,172381
07,15,20190401,,,79330429.27,,0.0,0,0,37818,19693
07,20,20200901,,,26173174.119999986,,0.0,0,0,659,533
,15,20200301,,,,,0.0,0,0,122529,35254
,18,20200701,,,,,0.0,0,0,43034146,9662187
05,23,20190701,,,,,0.0,0,0,39,38
03,25,20190701,,,,,0.0,8,0,8,5
03,08,20190801,,,,,0.0,42064,15312,57376,21243
06,18,20190601,1740759953.4300015,,,,144891.0,0,0,1549820,256939
02,06,20190401,,,,,0.0,0,0,50333,39957
02,07,20190401,,,,,0.0,0,0,1980985,1020233
02,09,20200901,,,,,0.0,0,0,1793500,1360371
03,01,20200601,,,,,0.0,54942,16164,71106,54152
03,07,20190501,,,,,0.0,4441658,835250,5276908,3641262
03,07,20200601,,,,,0.0,4564544,576096,5140640,2447947
04,08,20191001,,2584505977.1499996,,,0.0,0,0,145657,64217
05,2,20190501,,,,,211061196318.84,0,0,405904,363930
07,02,20201001,,0.0,4857894281.5800085,,288611.95999999996,0,0,3450409,2667728
07,15,20201001,,,10925546.380000003,,0.0,0,0,6765,5323
,18,20200201,,,,,0.0,0,0,21094544,6865857
,18,20200401,,,,,0.0,0,0,22603341,9556748
05,28,20191001,,,,,0.0,0,0,184,159
,3,20200501,,,,,0.0,0,0,290,67
03,3,20190401,,,,,0.0,0,8,8,7
03,21,20190501,,,,0.0,0.0,113366,190036,303402,280157
05,08,20190401,,,,,0.0,0,0,23634,21667
01,19,20190401,,,,,0.0,0,0,529,418
02,01,20201001,,,,,0.0,0,0,414,405
03,08,20200901,,,,,0.0,123110,118634,241744,111181
03,22,20200501,,,,,0.0,436278,2510078,2946356,1317458
04,07,20191001,,3345044560.049999,,,12607287.079999996,0,0,246726,205649
04,13,20190401,,0.0,,,0.0,0,0,248,168
04,25,20200201,,634774.26,,,0.0,0,0,397,385
04,26,20190601,,43696000.0,,,20669.329999999998,0,0,464,424
05,02,20200901,,,,,29625.399999999994,0,0,15539126,10778596
07,09,20191201,,373722419.7,15302360050.604988,106911595.87000006,6726228.0200000005,0,0,29275885,12998898
07,17,20191201,,18713211.4,109060459985.86528,,57352756731.4186,0,0,123868288,51261343
07,20,20200301,,,38100832.279999994,,0.0,0,0,957,728
,16,20200801,,,,,0.0,0,0,9118978,4960273
07,05,20200201,,5206500.0,3177932271.2500043,,1551577.7699999996,0,0,2362691,943512
04,28,20200101,,0.0,,,12.11,0,0,5,4
06,05,20200601,3432549144.1799984,,,,0.0,0,0,1235837,284553
02,02,20190901,,,,,0.0,0,0,1859566,1450680
01,04,20200601,,,,,0.0,0,0,10671,9321
01,24,20191101,,,,,0.0,0,0,32311,32013
02,16,20190701,,,,,0.0,0,0,641003,434302
02,2,20200701,,,,,0.0,0,0,529629,348243
03,26,20200301,,,,0.0,0.0,47,122687,122734,122347
04,08,20200401,,2534788097.719999,,,0.0,0,0,119283,52662
05,16,20200101,,,,,0.0,0,0,38302,28521
06,2,20191001,1014312831.8467501,,,,19240485.90249999,0,0,224221,120254
06,22,20200301,8843766390.230001,,,,3508737640.869999,0,0,2148527,1035948
07,08,20200901,,,6433740297.469997,0.0,0.0,0,0,4247017,2000841
,,20200601,,,,,0.0,0,0,462403347,225710456
,01,20190801,,,,,0.0,0,0,47083763,39612216
,24,20200501,,,,,0.0,0,0,17014473,6324861
01,,20190801,,,,,0.0,0,0,14714291,9743958
07,28,20191001,,,982600.0,85277.57000000002,0.0,0,0,156,103
06,3,20190801,0.0,,,,0.0,0,0,48,21
04,17,20200801,,2993306911.839999,,,5008.08,0,0,3562196,1898188
04,19,20200801,,65372138682.401024,,,629230753616.6097,0,0,1400351,1209268
05,21,20191001,,,,,1980262613.8099997,0,0,42625678,22756031
03,21,20190801,,,,0.0,0.0,1034194,137238,1171432,735144
02,06,20190501,,,,,0.0,0,0,9450,761
02,07,20200501,,,,,0.0,0,0,1136054,975274
02,16,20200101,,,,,0.0,0,0,844298,484887
03,05,20201001,,,,,0.0,8162,24412,32574,25379
03,99,20200201,,,,,0.0,693066,1343453,2036519,1449850
05,06,20201001,,,,,0.0,0,0,3354,1932
06,04,20200701,5986385559.017002,,,,220.40999999999997,0,0,6984867,2514116
06,99,20200501,5042254318.772934,,,,0.0,0,0,846903,233567
07,25,20191101,,,1858708703.5899994,109806.0,27668114.56,0,0,16148,7924
,19,20191201,,,,,0.0,0,0,107032037,34310945
01,06,20190401,,,,,0.0,0,0,3364,401
02,25,20190801,,,,,0.0,0,0,147,104
06,23,20190601,10097.5,,,,0.0,0,0,17,16
03,28,20191001,,,,,0.0,20,0,20,15
06,20,20191101,0.0,,,,0.0,0,0,40,40
01,01,20201001,,,,,0.0,0,0,13,13
06,23,20191001,151403.76,,,,0.0,0,0,9,7
01,01,20190701,,,,,0.0,0,0,332,287
