var,date_start,date_end,psi,taub
donv_wwwlncn_om4,2019-03-01,2019-04-01,0.0,
donv_wwwlncn_om3,2019-03-01,2019-04-01,0.0,
donv_wwwlncn_om2,2019-03-01,2019-04-01,0.0,
donv_wwwlncn_om1,2019-03-01,2019-04-01,0.0,
donv_wwwlbky_om6,2019-03-01,2019-04-01,0.0,
donv_wwwlbky_om5,2019-03-01,2019-04-01,0.0,
donv_wwwlbky_om4,2019-03-01,2019-04-01,0.0,
donv_wwwlbky_om3,2019-03-01,2019-04-01,0.0,
donv_wwwlbky_om2,2019-03-01,2019-04-01,0.0,
donv_wwwlbky_om1,2019-03-01,2019-04-01,0.0,
donv_wwwlbkw_om6,2019-03-01,2019-04-01,0.0,
donv_wwwlbkw_om5,2019-03-01,2019-04-01,0.0,
donv_wwwlbkw_om4,2019-03-01,2019-04-01,0.0,
donv_wwwlbkw_om3,2019-03-01,2019-04-01,0.0,
donv_wwwlbkw_om2,2019-03-01,2019-04-01,0.0,
donv_wwwlbkw_om1,2019-03-01,2019-04-01,0.0,
donv_wwwlbkn_om4,2019-03-01,2019-04-01,0.0,
donv_wwwlbkn_om3,2019-03-01,2019-04-01,0.0,
donv_wwwlbkn_om2,2019-03-01,2019-04-01,0.0,
donv_wwwlbkn_om1,2019-03-01,2019-04-01,0.0,
donv_wwwcfcy_om6,2019-03-01,2019-04-01,0.0,
donv_wwwcfcy_om5,2019-03-01,2019-04-01,0.0,
donv_wwwcfcy_om4,2019-03-01,2019-04-01,0.0,
donv_wwwcfcy_om3,2019-03-01,2019-04-01,0.0,
donv_wwwcfcy_om2,2019-03-01,2019-04-01,0.0,
donv_wwwcfcy_om1,2019-03-01,2019-04-01,0.0,
donv_wwwcfcw_om6,2019-03-01,2019-04-01,0.0,
donv_wwwcfcw_om5,2019-03-01,2019-04-01,0.0,
donv_wwwcfcw_om4,2019-03-01,2019-04-01,0.0,
donv_wwwcfcw_om3,2019-03-01,2019-04-01,0.0,
donv_wwwcfcw_om2,2019-03-01,2019-04-01,0.0,
donv_wwwcfcw_om1,2019-03-01,2019-04-01,0.0,
donv_wwwcfcn_om6,2019-03-01,2019-04-01,0.0,
donv_wwwcfcn_om5,2019-03-01,2019-04-01,0.0,
donv_wwwcfcn_om4,2019-03-01,2019-04-01,0.0,
donv_wwwcfcn_om3,2019-03-01,2019-04-01,0.0,
donv_wwwcfcn_om2,2019-03-01,2019-04-01,0.0,
donv_wwwcfcn_om1,2019-03-01,2019-04-01,0.0,
donv_wwwccby_om6,2019-03-01,2019-04-01,0.0,
donv_wwwccby_om5,2019-03-01,2019-04-01,0.0,
donv_wwwccby_om4,2019-03-01,2019-04-01,0.0,
donv_wwwccby_om3,2019-03-01,2019-04-01,0.0,
donv_wwwccby_om2,2019-03-01,2019-04-01,0.0,
donv_wwwccby_om1,2019-03-01,2019-04-01,0.0,
donv_wwwccbw_om6,2019-03-01,2019-04-01,0.0,
donv_wwwccbw_om5,2019-03-01,2019-04-01,0.0,
donv_wwwccbw_om4,2019-03-01,2019-04-01,0.0,
donv_wwwccbw_om3,2019-03-01,2019-04-01,0.0,
donv_wwwccbw_om2,2019-03-01,2019-04-01,0.0,
donv_wwwccbw_om1,2019-03-01,2019-04-01,0.0,
donv_wwwccbn_om6,2019-03-01,2019-04-01,0.0,
donv_wwwccbn_om5,2019-03-01,2019-04-01,0.0,
donv_wwwccbn_om4,2019-03-01,2019-04-01,0.0,
donv_wwwccbn_om3,2019-03-01,2019-04-01,0.0,
donv_wwwccbn_om2,2019-03-01,2019-04-01,0.0,
donv_wwwccbn_om1,2019-03-01,2019-04-01,0.0,
cc1v_wwwwwwy_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwwwwy_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwwwwy_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwwwww_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwwwww_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwwwww_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwwwwn_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwwwwn_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwwwwn_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwpfcy_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwpfcy_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwpfcy_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwpfcw_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwpfcw_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwpfcw_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwpfcn_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwpfcn_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwpfcn_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwpdly_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwpdly_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwpdly_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwpdlw_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwpdlw_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwpdlw_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwpdln_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwpdln_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwpdln_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwofcy_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwofcy_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwofcy_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwofcw_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwofcw_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwofcw_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwofcn_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwofcn_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwofcn_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwmlcy_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwmlcy_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwmlcy_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwmlcw_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwmlcw_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwmlcw_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwmlcn_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwmlcn_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwmlcn_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwlncy_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwlncy_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwlncy_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwlncw_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwlncw_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwlncw_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwlncn_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwlncn_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwlncn_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwlbky_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwlbky_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwlbky_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwlbkw_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwlbkw_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwlbkw_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwlbkn_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwlbkn_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwlbkn_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwcfcy_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwcfcy_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwcfcy_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwcfcw_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwcfcw_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwcfcw_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwcfcn_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwcfcn_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwcfcn_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwccby_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwccby_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwccby_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwccbw_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwccbw_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwccbw_m1,2019-03-01,2019-04-01,0.0,
cc1v_wwwccbn_m6,2019-03-01,2019-04-01,0.0,
cc1v_wwwccbn_m3,2019-03-01,2019-04-01,0.0,
cc1v_wwwccbn_m1,2019-03-01,2019-04-01,0.0,
vrap_wwwwww_om4,2019-03-01,2019-04-01,0.0,
vrap_wwwwww_om2,2019-03-01,2019-04-01,0.0,
vrap_wwwwww_om1,2019-03-01,2019-04-01,0.0,
srap_wwwwww_m6,2019-03-01,2019-04-01,0.0,
srap_wwwwww_m3,2019-03-01,2019-04-01,0.0,
srap_wwwwww_m1,2019-03-01,2019-04-01,0.0,
mrap_wwwwww_m6,2019-03-01,2019-04-01,0.0,
mrap_wwwwww_m3,2019-03-01,2019-04-01,0.0,
mrap_wwwwww_m1,2019-03-01,2019-04-01,0.0,
lrap_wwwwww_m6,2019-03-01,2019-04-01,0.0,
lrap_wwwwww_m3,2019-03-01,2019-04-01,0.0,
lrap_wwwwww_m1,2019-03-01,2019-04-01,0.0,
dotp_wwwwww_om6,2019-03-01,2019-04-01,0.0,
dotp_wwwwww_om5,2019-03-01,2019-04-01,0.0,
dotp_wwwwww_om4,2019-03-01,2019-04-01,0.0,
dotp_wwwwww_om3,2019-03-01,2019-04-01,0.0,
dotp_wwwwww_om2,2019-03-01,2019-04-01,0.0,
dotp_wwwwww_om1,2019-03-01,2019-04-01,0.0,
dogp_wwwwww_om6,2019-03-01,2019-04-01,0.0,
dogp_wwwwww_om5,2019-03-01,2019-04-01,0.0,
dogp_wwwwww_om4,2019-03-01,2019-04-01,0.0,
dogp_wwwwww_om3,2019-03-01,2019-04-01,0.0,
dogp_wwwwww_om2,2019-03-01,2019-04-01,0.0,
dogp_wwwwww_om1,2019-03-01,2019-04-01,0.0,
dogp_wwwpfc_om6,2019-03-01,2019-04-01,0.0,
dogp_wwwpfc_om5,2019-03-01,2019-04-01,0.0,
dogp_wwwpfc_om4,2019-03-01,2019-04-01,0.0,
dogp_wwwpfc_om3,2019-03-01,2019-04-01,0.0,
dogp_wwwpfc_om2,2019-03-01,2019-04-01,0.0,
dogp_wwwpfc_om1,2019-03-01,2019-04-01,0.0,
dogp_wwwpdl_om6,2019-03-01,2019-04-01,0.0,
dogp_wwwpdl_om5,2019-03-01,2019-04-01,0.0,
dogp_wwwpdl_om4,2019-03-01,2019-04-01,0.0,
dogp_wwwpdl_om3,2019-03-01,2019-04-01,0.0,
dogp_wwwpdl_om2,2019-03-01,2019-04-01,0.0,
dogp_wwwpdl_om1,2019-03-01,2019-04-01,0.0,
dogp_wwwofc_om5,2019-03-01,2019-04-01,0.0,
dogp_wwwofc_om4,2019-03-01,2019-04-01,0.0,
dogp_wwwmlc_om6,2019-03-01,2019-04-01,0.0,
dogp_wwwmlc_om4,2019-03-01,2019-04-01,0.0,
dogp_wwwmlc_om2,2019-03-01,2019-04-01,0.0,
dogp_wwwmlc_om1,2019-03-01,2019-04-01,0.0,
dogp_wwwlnc_om6,2019-03-01,2019-04-01,0.0,
dogp_wwwlnc_om5,2019-03-01,2019-04-01,0.0,
dogp_wwwlnc_om4,2019-03-01,2019-04-01,0.0,
dogp_wwwlnc_om3,2019-03-01,2019-04-01,0.0,
dogp_wwwlnc_om2,2019-03-01,2019-04-01,0.0,
dogp_wwwlnc_om1,2019-03-01,2019-04-01,0.0,
dogp_wwwlbk_om6,2019-03-01,2019-04-01,0.0,
dogp_wwwlbk_om5,2019-03-01,2019-04-01,0.0,
dogp_wwwlbk_om4,2019-03-01,2019-04-01,0.0,
dogp_wwwlbk_om3,2019-03-01,2019-04-01,0.0,
dogp_wwwlbk_om2,2019-03-01,2019-04-01,0.0,
dogp_wwwlbk_om1,2019-03-01,2019-04-01,0.0,
dogp_wwwcfc_om6,2019-03-01,2019-04-01,0.0,
dogp_wwwcfc_om5,2019-03-01,2019-04-01,0.0,
dogp_wwwcfc_om4,2019-03-01,2019-04-01,0.0,
dogp_wwwcfc_om3,2019-03-01,2019-04-01,0.0,
dogp_wwwcfc_om2,2019-03-01,2019-04-01,0.0,
dogp_wwwcfc_om1,2019-03-01,2019-04-01,0.0,
dogp_wwwccb_om6,2019-03-01,2019-04-01,0.0,
dogp_wwwccb_om5,2019-03-01,2019-04-01,0.0,
dogp_wwwccb_om4,2019-03-01,2019-04-01,0.0,
dogp_wwwccb_om3,2019-03-01,2019-04-01,0.0,
dogp_wwwccb_om2,2019-03-01,2019-04-01,0.0,
dogp_wwwccb_om1,2019-03-01,2019-04-01,0.0,
cc1p_wwwwww_m6,2019-03-01,2019-04-01,0.0,
cc1p_wwwwww_m3,2019-03-01,2019-04-01,0.0,
cc1p_wwwwww_m1,2019-03-01,2019-04-01,0.0,
cc1p_wwwpfc_m6,2019-03-01,2019-04-01,0.0,
cc1p_wwwpfc_m3,2019-03-01,2019-04-01,0.0,
cc1p_wwwpfc_m1,2019-03-01,2019-04-01,0.0,
cc1p_wwwpdl_m6,2019-03-01,2019-04-01,0.0,
cc1p_wwwpdl_m3,2019-03-01,2019-04-01,0.0,
cc1p_wwwpdl_m1,2019-03-01,2019-04-01,0.0,
cc1p_wwwofc_m6,2019-03-01,2019-04-01,0.0,
cc1p_wwwofc_m3,2019-03-01,2019-04-01,0.0,
cc1p_wwwofc_m1,2019-03-01,2019-04-01,0.0,
cc1p_wwwmlc_m6,2019-03-01,2019-04-01,0.0,
cc1p_wwwmlc_m3,2019-03-01,2019-04-01,0.0,
cc1p_wwwmlc_m1,2019-03-01,2019-04-01,0.0,
