var,date_start,date_end,psi,taub
invest__122_cnt_1m,2019-03-01,2019-04-01,inf,
invest__122_amount_sum_1m,2019-03-01,2019-04-01,inf,
invest__122_amount_cnt_1m,2019-03-01,2019-04-01,inf,
invest__121_cnt_1m,2019-03-01,2019-04-01,inf,
hotel__7_cnt_6m,2019-03-01,2019-04-01,inf,
hotel__7_cnt_1m,2019-03-01,2019-04-01,inf,
hotel__6_cnt_6m,2019-03-01,2019-04-01,inf,
hotel__6_cnt_1m,2019-03-01,2019-04-01,inf,
hotel__27_cnt_6m,2019-03-01,2019-04-01,0.0,
hotel__27_cnt_1m,2019-03-01,2019-04-01,inf,
hotel__25_cnt_6m,2019-03-01,2019-04-01,inf,
hotel__25_cnt_1m,2019-03-01,2019-04-01,inf,
hotel__1_cnt_6m,2019-03-01,2019-04-01,inf,
hotel__1_cnt_1m,2019-03-01,2019-04-01,inf,
government__111_cnt_1m,2019-03-01,2019-04-01,inf,
gong_ji_jin__1_cnt_1m,2019-03-01,2019-04-01,inf,
gong_ji_jin__17_cnt_1m,2019-03-01,2019-04-01,inf,
gong_ji_jin__15_cnt_1m,2019-03-01,2019-04-01,inf,
games__7_cnt_6m,2019-03-01,2019-04-01,inf,
games__7_cnt_1m,2019-03-01,2019-04-01,inf,
games__7_amount_sum_6m,2019-03-01,2019-04-01,0.0,
games__7_amount_sum_1m,2019-03-01,2019-04-01,0.0,
games__7_amount_cnt_6m,2019-03-01,2019-04-01,inf,
games__7_amount_cnt_1m,2019-03-01,2019-04-01,inf,
games__6_cnt_6m,2019-03-01,2019-04-01,inf,
games__6_cnt_1m,2019-03-01,2019-04-01,inf,
games__6_amount_sum_6m,2019-03-01,2019-04-01,inf,
games__6_amount_sum_1m,2019-03-01,2019-04-01,0.0,
games__6_amount_cnt_6m,2019-03-01,2019-04-01,inf,
games__6_amount_cnt_1m,2019-03-01,2019-04-01,inf,
games__1_cnt_6m,2019-03-01,2019-04-01,0.0,
games__1_cnt_1m,2019-03-01,2019-04-01,inf,
express__83_cnt_6m,2019-03-01,2019-04-01,inf,
express__83_cnt_1m,2019-03-01,2019-04-01,inf,
express__82_cnt_6m,2019-03-01,2019-04-01,inf,
express__82_cnt_1m,2019-03-01,2019-04-01,inf,
express__81_cnt_6m,2019-03-01,2019-04-01,0.0,
express__81_cnt_1m,2019-03-01,2019-04-01,0.0,
express__7_cnt_6m,2019-03-01,2019-04-01,inf,
express__7_cnt_1m,2019-03-01,2019-04-01,inf,
express__6_cnt_6m,2019-03-01,2019-04-01,0.0,
express__6_cnt_1m,2019-03-01,2019-04-01,inf,
express__1_cnt_6m,2019-03-01,2019-04-01,0.0,
express__1_cnt_1m,2019-03-01,2019-04-01,inf,
edu_pay__7_cnt_3m,2019-03-01,2019-04-01,inf,
edu_pay__7_cnt_1m,2019-03-01,2019-04-01,inf,
edu_pay__6_cnt_3m,2019-03-01,2019-04-01,inf,
edu_pay__6_cnt_1m,2019-03-01,2019-04-01,inf,
edu_pay__1_cnt_3m,2019-03-01,2019-04-01,inf,
edu_pay__1_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__62_cnt_6m,2019-03-01,2019-04-01,inf,
credit_card__62_cnt_3m,2019-03-01,2019-04-01,inf,
credit_card__62_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__60_overdue2_6m,2019-03-01,2019-04-01,0.0,
credit_card__60_overdue2_3m,2019-03-01,2019-04-01,inf,
credit_card__60_overdue2_1m,2019-03-01,2019-04-01,inf,
credit_card__60_overdue1_6m,2019-03-01,2019-04-01,0.0,
credit_card__60_overdue1_3m,2019-03-01,2019-04-01,0.0,
credit_card__60_overdue1_1m,2019-03-01,2019-04-01,inf,
credit_card__60_orgcnt_6m,2019-03-01,2019-04-01,inf,
credit_card__60_orgcnt_3m,2019-03-01,2019-04-01,inf,
credit_card__60_orgcnt_1m,2019-03-01,2019-04-01,inf,
credit_card__60_cnt_6m,2019-03-01,2019-04-01,0.0,
credit_card__60_cnt_3m,2019-03-01,2019-04-01,0.0,
credit_card__60_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__60_amount_sum_6m,2019-03-01,2019-04-01,inf,
credit_card__60_amount_sum_3m,2019-03-01,2019-04-01,inf,
credit_card__60_amount_sum_1m,2019-03-01,2019-04-01,inf,
credit_card__59_cnt_6m,2019-03-01,2019-04-01,inf,
credit_card__59_cnt_3m,2019-03-01,2019-04-01,inf,
