2020-03-01_2020-04-01,0,1,2,3,4
0,0.9422,0.0518,0.0039,0.0021,0.0
1,0.911,0.0706,0.014,0.0044,0.0
2,0.8266,0.0804,0.0564,0.0365,0.0
3,0.7908,0.0362,0.0495,0.1231,0.0004
