2020-07-01_2020-08-01,0,1,2,3,4
0,0.9773,0.0182,0.0044,0.0001,0.0
1,0.9552,0.0378,0.007,0.0,0.0
2,0.8534,0.0581,0.0848,0.0036,0.0
3,0.8446,0.0031,0.0973,0.0549,0.0
4,1.0,0.0,0.0,0.0,0.0
