2020-04-01_2020-05-01,0,1,2,3,4
0,0.9758,0.0193,0.0029,0.0019,0.0
1,0.963,0.0298,0.0052,0.002,0.0
2,0.8687,0.0615,0.0438,0.026,0.0
3,0.8314,0.0286,0.04,0.1001,0.0
4,0.6667,0.0,0.0,0.1667,0.1667
