2020-02-01_2020-03-01,0,1,2,3,4,5,6,7,8
0,0.9903,0.0077,0.0013,0.0005,0.0001,0.0,0.0,0.0,0.0
1,0.6994,0.2719,0.022,0.0044,0.0016,0.0004,0.0001,0.0001,0.0
2,0.6754,0.1679,0.127,0.02,0.0059,0.0029,0.0006,0.0004,0.0
3,0.5599,0.1894,0.1128,0.1095,0.0193,0.0061,0.0019,0.001,0.0
4,0.4437,0.2013,0.1356,0.1014,0.0929,0.0169,0.0053,0.0028,0.0
5,0.3246,0.2036,0.1438,0.133,0.0918,0.0785,0.015,0.0097,0.0
6,0.2223,0.1929,0.1477,0.138,0.1199,0.081,0.0731,0.025,0.0
7,0.1587,0.1322,0.1021,0.1005,0.1031,0.0815,0.0699,0.252,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
