2020-02-01_2020-03-01,0,1,2,3,4
0,0.9693,0.0243,0.004,0.0024,0.0
1,0.9324,0.052,0.0106,0.005,0.0
2,0.8057,0.0843,0.0613,0.0486,0.0
3,0.7728,0.0336,0.0526,0.1409,0.0002
4,0.6,0.0,0.0,0.4,0.0
