2020-05-01_2020-06-01,0,1,2,3,4
0,0.977,0.0184,0.0028,0.0018,0.0
1,0.9666,0.0275,0.0042,0.0017,0.0
2,0.8744,0.063,0.0402,0.0224,0.0
3,0.8469,0.0276,0.0418,0.0837,0.0
4,1.0,0.0,0.0,0.0,0.0
