2020-06-01_2020-07-01,0,1,2,3,4,5
0,0.9299,0.0606,0.0057,0.0039,0.0,0.0
1,0.8559,0.1224,0.0172,0.0045,0.0,0.0
2,0.7885,0.1061,0.0675,0.0379,0.0,0.0
3,0.7748,0.0353,0.0478,0.1416,0.0003,0.0001
4,0.7333,0.0,0.0,0.1333,0.0667,0.0667
5,1.0,0.0,0.0,0.0,0.0,0.0
