2020-02-01_2020-03-01,0,1,2,3,4,5,6,7,8,9
0,0.9446,0.034,0.0022,0.0019,0.0021,0.0023,0.0029,0.0035,0.0039,0.0025
1,0.5569,0.3219,0.0141,0.0121,0.0128,0.0135,0.0161,0.0189,0.0214,0.0123
2,0.2122,0.1911,0.3642,0.0299,0.0289,0.0328,0.0352,0.0388,0.0445,0.0225
3,0.188,0.162,0.0285,0.3978,0.032,0.0343,0.0417,0.0434,0.049,0.0234
4,0.1761,0.1447,0.0255,0.0276,0.4073,0.0413,0.0496,0.0496,0.0531,0.0252
5,0.1719,0.1417,0.0225,0.0238,0.0341,0.3733,0.0573,0.0709,0.0701,0.0345
6,0.1809,0.1331,0.0198,0.0224,0.0313,0.0442,0.3242,0.0955,0.1018,0.0467
7,0.1858,0.1275,0.0148,0.0166,0.0218,0.0371,0.063,0.2893,0.1659,0.0781
8,0.1528,0.1147,0.0108,0.0114,0.0164,0.0237,0.0432,0.0972,0.343,0.1868
9,0.1172,0.0905,0.0084,0.0085,0.0101,0.0149,0.0222,0.0424,0.1547,0.531
