2020-02-01_2020-03-01,0,1,2,3,4,5
0,0.9395,0.0541,0.0042,0.0023,0.0,0.0
1,0.8888,0.0862,0.0185,0.0065,0.0,0.0
2,0.794,0.0881,0.0666,0.0512,0.0,0.0
3,0.752,0.0368,0.0536,0.1566,0.001,0.0
4,0.0,0.0,0.0,1.0,0.0,0.0
