2020-04-01_2020-05-01,0,1,2,3,4
0,0.9448,0.0498,0.0035,0.0019,0.0
1,0.9137,0.0689,0.0131,0.0043,0.0
2,0.8365,0.076,0.0554,0.032,0.0
3,0.8054,0.0336,0.0457,0.1149,0.0004
4,1.0,0.0,0.0,0.0,0.0
