2020-07-01_2020-08-01,0,1,2,3,4,5,6,7,8,9
0,0.9587,0.0307,0.0021,0.0016,0.0014,0.0012,0.0013,0.0011,0.001,0.0011
1,0.1483,0.7561,0.023,0.0174,0.0118,0.0097,0.0095,0.0095,0.0086,0.006
2,0.1014,0.2296,0.3853,0.0864,0.0853,0.0383,0.0278,0.0225,0.0154,0.0079
3,0.0842,0.1666,0.0738,0.3918,0.0862,0.092,0.045,0.0315,0.0201,0.0089
4,0.0639,0.1138,0.0675,0.066,0.422,0.088,0.0953,0.0463,0.0262,0.011
5,0.0513,0.0877,0.03,0.0649,0.0714,0.4471,0.1123,0.0874,0.0354,0.0125
6,0.0442,0.0712,0.0207,0.0307,0.0605,0.0851,0.4521,0.1518,0.0649,0.0187
7,0.0315,0.0606,0.0127,0.0199,0.0306,0.0552,0.1101,0.4712,0.1743,0.034
8,0.0214,0.0452,0.0067,0.0087,0.0146,0.0218,0.0472,0.1452,0.5408,0.1486
9,0.0136,0.0247,0.0035,0.0031,0.0047,0.0067,0.0105,0.0267,0.1378,0.7688
