2020-02-01_2020-03-01,0,1,2,3,4,5,6,7,8
0,0.9446,0.0277,0.0113,0.004,0.0032,0.0024,0.0033,0.0036,0.0
1,0.5673,0.3075,0.0501,0.0207,0.0129,0.0088,0.0158,0.0168,0.0
2,0.3858,0.2061,0.1917,0.06,0.0394,0.0264,0.0444,0.0462,0.0
3,0.2569,0.1779,0.1581,0.116,0.0725,0.0435,0.0841,0.0909,0.0
4,0.2123,0.1219,0.1387,0.101,0.1305,0.069,0.1096,0.117,0.0
5,0.1503,0.1024,0.1108,0.1236,0.1407,0.0804,0.1406,0.1511,0.0
6,0.1054,0.0735,0.0828,0.0796,0.0842,0.078,0.2256,0.2707,0.0
7,0.0365,0.0256,0.0264,0.0269,0.0298,0.0318,0.1356,0.6875,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
