2020-04-01_2020-05-01,0,1,2,3,4,5
0,0.9597,0.0311,0.0053,0.0039,0.0,0.0
1,0.9413,0.0478,0.0076,0.0033,0.0,0.0
2,0.8589,0.0643,0.0477,0.0292,0.0,0.0
3,0.8311,0.0235,0.0342,0.1112,0.0001,0.0
4,0.9355,0.0,0.0,0.0323,0.0323,0.0
