2020-04-01_2020-05-01,0,1,2,3,4,5,6,7,8,9
0,0.9628,0.0272,0.0016,0.0012,0.001,0.0011,0.0012,0.0014,0.0013,0.0011
1,0.303,0.6342,0.0143,0.0093,0.0073,0.0062,0.0076,0.0075,0.0061,0.0045
2,0.0642,0.0937,0.6908,0.0444,0.0283,0.0204,0.0192,0.0188,0.0143,0.006
3,0.0522,0.0654,0.0233,0.7204,0.0427,0.0291,0.0242,0.0196,0.0162,0.0068
4,0.0444,0.0547,0.014,0.0188,0.7413,0.0413,0.0341,0.0236,0.0193,0.0084
5,0.0426,0.0478,0.0097,0.0109,0.0168,0.7488,0.0553,0.0345,0.0237,0.0099
6,0.0372,0.0457,0.0077,0.0082,0.0097,0.0162,0.7612,0.066,0.0336,0.0145
7,0.0334,0.0442,0.0064,0.0061,0.0075,0.0096,0.0208,0.7801,0.0707,0.0212
8,0.0335,0.0457,0.0054,0.0056,0.0061,0.0077,0.0138,0.028,0.8055,0.0488
9,0.043,0.0459,0.0058,0.0065,0.0079,0.0096,0.0147,0.0212,0.0408,0.8047
