2020-02-01_2020-03-01,0,1,2,3,4,5,6,7,8
0,0.9594,0.0238,0.0071,0.0026,0.0019,0.0021,0.003,0.0,0.0
1,0.7219,0.176,0.0426,0.0179,0.0111,0.0116,0.0188,0.0,0.0
2,0.4261,0.1943,0.1926,0.0587,0.034,0.0368,0.0576,0.0,0.0
3,0.258,0.1895,0.1769,0.1285,0.0659,0.0672,0.114,0.0,0.0
4,0.2207,0.1374,0.1478,0.1187,0.1295,0.0976,0.1482,0.0,0.0
5,0.1703,0.1089,0.1153,0.1147,0.1106,0.1469,0.2333,0.0,0.0
6,0.0709,0.0545,0.0564,0.0562,0.0563,0.1132,0.5922,0.0001,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.625,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
