2020-06-01_2020-07-01,0,1,2,3,4,5
0,0.9776,0.0179,0.0044,0.0001,0.0,0.0
1,0.9676,0.0268,0.0055,0.0001,0.0,0.0
2,0.8657,0.0522,0.0786,0.0034,0.0001,0.0001
3,0.8728,0.0018,0.0645,0.0591,0.0018,0.0
4,0.9091,0.0,0.0,0.0,0.0909,0.0
5,0.8,0.0,0.0,0.2,0.0,0.0
