2020-02-01_2020-03-01,0,1,2,3,4,5,6,7,8,9
0,0.9446,0.0362,0.003,0.0021,0.0019,0.0019,0.0022,0.0027,0.0033,0.0021
1,0.5345,0.3573,0.0211,0.0146,0.012,0.0108,0.0121,0.0137,0.015,0.0089
2,0.1987,0.1854,0.3655,0.0622,0.0441,0.0365,0.0285,0.0306,0.0329,0.0154
3,0.1689,0.1511,0.0388,0.4245,0.0577,0.0399,0.0377,0.033,0.0325,0.016
4,0.1553,0.1332,0.0252,0.0278,0.4669,0.0547,0.0415,0.0413,0.0343,0.0198
5,0.1536,0.1236,0.0196,0.0179,0.0281,0.4813,0.064,0.0525,0.0385,0.0209
6,0.1562,0.1267,0.0164,0.0169,0.0169,0.0296,0.4764,0.0779,0.0578,0.0253
7,0.1698,0.1266,0.0157,0.0148,0.0173,0.0199,0.0338,0.4677,0.1039,0.0305
8,0.1841,0.1328,0.0165,0.0141,0.0158,0.0165,0.0258,0.0474,0.4721,0.0749
9,0.1954,0.1343,0.0152,0.015,0.015,0.0183,0.0264,0.0374,0.0838,0.4592
