2020-04-01_2020-05-01,0,1,2,3,4,5
0,0.9292,0.0615,0.0056,0.0036,0.0,0.0
1,0.8958,0.0851,0.0142,0.0048,0.0,0.0
2,0.8266,0.0778,0.0583,0.0374,0.0,0.0
3,0.8058,0.0267,0.0391,0.128,0.0003,0.0001
4,0.9286,0.0,0.0,0.0,0.0714,0.0
5,1.0,0.0,0.0,0.0,0.0,0.0
