2020-05-01_2020-06-01,0,1,2,3,4,5
0,0.9614,0.03,0.005,0.0037,0.0,0.0
1,0.9467,0.0444,0.0063,0.0026,0.0,0.0
2,0.869,0.0632,0.0407,0.0271,0.0,0.0
3,0.8395,0.0235,0.0366,0.1001,0.0003,0.0001
4,0.9231,0.0,0.0,0.0769,0.0,0.0
5,1.0,0.0,0.0,0.0,0.0,0.0
