2020-04-01_2020-05-01,0,1,2,3,4,5,6,7,8,9
0,0.9628,0.0221,0.0072,0.0023,0.0017,0.0012,0.0005,0.0006,0.0009,0.0007
1,0.4838,0.3683,0.0836,0.0265,0.0125,0.007,0.0041,0.0044,0.0054,0.0043
2,0.1642,0.1637,0.3966,0.135,0.0584,0.026,0.0158,0.0157,0.0154,0.0092
3,0.0386,0.0446,0.1046,0.6121,0.0851,0.0427,0.0214,0.0219,0.0185,0.0105
4,0.0478,0.0374,0.0825,0.1867,0.3155,0.1112,0.072,0.0697,0.0549,0.0224
5,0.0358,0.0291,0.0541,0.0916,0.141,0.2548,0.1215,0.1233,0.1104,0.0385
6,0.0194,0.02,0.0344,0.0495,0.0802,0.1169,0.318,0.1707,0.1465,0.0444
7,0.0149,0.0126,0.0236,0.0408,0.0523,0.0697,0.1113,0.2931,0.3006,0.081
8,0.0078,0.0063,0.0081,0.0129,0.0198,0.0256,0.0359,0.107,0.5251,0.2514
9,0.0017,0.0013,0.0013,0.0017,0.0019,0.0023,0.0029,0.0085,0.076,0.9025
