2020-05-01_2020-06-01,0,1,2,3,4,5
0,0.9307,0.0604,0.0053,0.0035,0.0,0.0
1,0.8958,0.0862,0.0136,0.0044,0.0,0.0
2,0.8302,0.0768,0.0591,0.0339,0.0,0.0
3,0.8071,0.0272,0.0398,0.1257,0.0002,0.0
4,0.9091,0.0,0.0,0.0455,0.0455,0.0
5,0.0,0.0,0.0,0.0,1.0,0.0
