2020-06-01_2020-07-01,0,1,2,3,4
0,0.9452,0.0493,0.0054,0.0002,0.0
1,0.8834,0.0974,0.0191,0.0001,0.0
2,0.7959,0.08,0.1197,0.0045,0.0
3,0.796,0.0142,0.1275,0.0623,0.0
4,0.6667,0.0,0.0,0.0,0.3333
