num,unique_num,sms_time_slot,table_name,dt
258467084,170335703,4,gdl_jrs_msg_nparse,2020-02-18
53126556,34859094,2,gdl_jrs_msg_nparse,2020-02-18
57194613,37296176,1,gdl_jrs_msg_nparse,2020-02-15
2002654628,885876539,3,gdl_jrs_msg_nparse,2020-02-15
252662123,177117802,4,gdl_jrs_msg_nparse,2020-02-15
71341224,54334419,2,gdl_jrs_msg_nparse,2020-02-15
46352088,27206897,1,gdl_jrs_msg_nparse,2020-02-19
1874967992,818033548,3,gdl_jrs_msg_nparse,2020-02-19
211890994,137509493,4,gdl_jrs_msg_nparse,2020-02-19
51242532,33054472,2,gdl_jrs_msg_nparse,2020-02-19
55555938,34281549,1,gdl_jrs_msg_nparse,2020-02-16
1836534378,823010711,3,gdl_jrs_msg_nparse,2020-02-16
226309572,143458549,4,gdl_jrs_msg_nparse,2020-02-16
72250187,55332045,2,gdl_jrs_msg_nparse,2020-02-16
42595916,24772729,1,gdl_jrs_msg_nparse,2020-02-17
1986367561,863788856,3,gdl_jrs_msg_nparse,2020-02-17
239379998,164171604,4,gdl_jrs_msg_nparse,2020-02-17
55400707,38964689,2,gdl_jrs_msg_nparse,2020-02-17
46021766,25697395,1,gdl_jrs_msg_nparse,2020-02-20
2469010538,1055248953,3,gdl_jrs_msg_nparse,2020-02-20
283909505,201085177,4,gdl_jrs_msg_nparse,2020-02-20
60841688,40733562,2,gdl_jrs_msg_nparse,2020-02-20
49910292,32069636,1,gdl_jrs_msg_nparse,2020-02-21
2140709464,913814406,3,gdl_jrs_msg_nparse,2020-02-21
251747725,167178466,4,gdl_jrs_msg_nparse,2020-02-21
76262301,51772113,2,gdl_jrs_msg_nparse,2020-02-21
46015345,26944809,1,gdl_jrs_msg_nparse,2020-02-18
1962951888,879203813,3,gdl_jrs_msg_nparse,2020-02-18
258467084,170335703,4,gdl_jrs_msg_nparse,2020-02-18
53126556,34859094,2,gdl_jrs_msg_nparse,2020-02-18
52621286,32316298,1,gdl_jrs_msg_nparse,2020-02-22
1943197205,852200524,3,gdl_jrs_msg_nparse,2020-02-22
192647759,126147285,4,gdl_jrs_msg_nparse,2020-02-22
64263746,42877896,2,gdl_jrs_msg_nparse,2020-02-22
46352088,27206897,1,gdl_jrs_msg_nparse,2020-02-19
1874967992,818033548,3,gdl_jrs_msg_nparse,2020-02-19
211890994,137509493,4,gdl_jrs_msg_nparse,2020-02-19
51242532,33054472,2,gdl_jrs_msg_nparse,2020-02-19
44348985,25486924,1,gdl_jrs_msg_nparse,2020-02-23
1579290761,732661355,3,gdl_jrs_msg_nparse,2020-02-23
178515028,112746182,4,gdl_jrs_msg_nparse,2020-02-23
52293639,34691505,2,gdl_jrs_msg_nparse,2020-02-23
46021766,25697395,1,gdl_jrs_msg_nparse,2020-02-20
2469010538,1055248953,3,gdl_jrs_msg_nparse,2020-02-20
283909505,201085177,4,gdl_jrs_msg_nparse,2020-02-20
60841688,40733562,2,gdl_jrs_msg_nparse,2020-02-20
42186833,23937148,1,gdl_jrs_msg_nparse,2020-02-24
2005666097,865787413,3,gdl_jrs_msg_nparse,2020-02-24
224770179,147995805,4,gdl_jrs_msg_nparse,2020-02-24
67230729,48259496,2,gdl_jrs_msg_nparse,2020-02-24
49910292,32069636,1,gdl_jrs_msg_nparse,2020-02-21
2140709464,913814406,3,gdl_jrs_msg_nparse,2020-02-21
251747725,167178466,4,gdl_jrs_msg_nparse,2020-02-21
76262301,51772113,2,gdl_jrs_msg_nparse,2020-02-21
44941280,25210213,1,gdl_jrs_msg_nparse,2020-02-25
2069260313,846661254,3,gdl_jrs_msg_nparse,2020-02-25
215531689,133685134,4,gdl_jrs_msg_nparse,2020-02-25
78749534,58183311,2,gdl_jrs_msg_nparse,2020-02-25
52621286,32316298,1,gdl_jrs_msg_nparse,2020-02-22
1943197205,852200524,3,gdl_jrs_msg_nparse,2020-02-22
192647759,126147285,4,gdl_jrs_msg_nparse,2020-02-22
