活跃借记卡数量,活跃信用卡数量,活跃借记卡银行总和,活跃信用卡银行总和,活跃银行,拥有超过5张借记卡的用户数,拥有超过10张借记卡的用户数,拥有超过5张信用卡的用户数,拥有超过10张信用卡的用户数,拥有超过50张信用卡的用户数,拥有超过5家借记卡银行的用户数,拥有超过10家借记卡银行的用户数,拥有超过5家信用卡银行的用户数,拥有超过10家信用卡银行的用户数,拥有超过5家银行的用户数,拥有超过10家银行的用户数,独立用户数,短信条数,dt,prov
22715958,5198030,19086447,4832703,23392303,476816,409539,494114,409267,407780,413037,407801,466075,407903,582459,410205,15562352,15562352,2019/7/1,贵州
13307841,7973754,12469600,7684993,19652209,1350264,1338901,1459622,1340048,1338056,1339675,1338063,1433258,1338333,1510902,1339297,14653010,14653010,2019/4/1,河北
36785031,7858160,29419514,7088614,35238150,672410,343738,533902,342298,333298,373672,333657,464290,334494,776481,349215,20154191,20154191,2020/7/1,贵州
9512229,4187775,8329948,3992998,12063704,606096,594195,678763,595258,593545,594068,593544,659757,593728,706887,594450,8867561,8867561,2019/5/1,吉林
29021659,9161785,25009593,8397091,31874437,708242,528407,784961,537884,516838,558741,518095,717235,522570,1002279,545953,18176726,18176726,2020/6/1,重庆
4366070,2418324,3727932,2259938,5644034,214236,199190,257308,200243,198235,199663,198250,241630,198463,283307,199577,3448641,3448641,2019/8/1,宁夏
29710936,9328392,25555173,8533586,32493767,703777,510931,774250,520589,498364,543788,499741,703713,504407,1000922,529231,18383255,18383255,2020/7/1,重庆
17335034,10064472,15533077,9406519,24083248,1273130,1233130,1497667,1249512,1229357,1238735,1229561,1439490,1235530,1582406,1246793,15974901,15974901,2019/10/1,辽宁
3177493,2278232,2851171,2131898,4755502,196953,192762,237573,193371,192312,193011,192314,223565,192388,250354,192711,3233514,3233514,2019/7/1,海南
655067,189537,586536,172572,716401,112268,110616,111859,110586,110511,110845,110527,111088,110521,112779,110579,630952,630952,2020/6/1,西藏
65538968,34495930,58164324,31777312,86457234,1382186,1042906,2264510,1132502,1014035,1116924,1019545,2002443,1050446,2985013,1165556,45996302,45996302,2020/7/1,山东
94199751,59393737,83227837,53862085,130104543,4046381,3627133,5571386,3794986,3578973,3694961,3582911,5084592,3655011,6334009,3793159,73225120,73225120,2020/2/1,广东
32658093,22102284,28248391,20092063,44897085,1035223,796793,1602925,848131,777197,840030,778697,1394011,790778,2037028,849836,22129880,22129880,2020/6/1,福建
31214617,21495159,27073164,19625050,43456510,1057095,846387,1615955,894088,829503,883487,830737,1421502,842007,2023000,894792,21733884,21733884,2020/4/1,福建
6641725,1716283,6034909,1676363,7684228,1059051,1056149,1056153,1056006,1055998,1056094,1055998,1056001,1055998,1058977,1055998,7152959,7152959,2019/4/1,内蒙古
9965185,3748487,8947672,3488153,11984421,521954,508907,569271,509543,507638,509615,507664,551424,507920,593942,509164,8887059,8887059,2019/7/1,新疆
26675758,16879961,24167782,15640362,38084956,1584025,1493351,2001436,1518399,1484665,1509169,1485509,1877051,1493011,2189747,1516567,23038207,23038207,2020/2/1,河北
58657653,37673926,53104625,35519955,85472725,4102112,3983687,4939988,4032325,3973161,3992547,3973259,4752297,3994104,5276808,4028450,56012129,56012129,2019/5/1,广东
24402508,15169352,21630379,13597006,33102191,1266682,1117585,1473262,1146393,1098264,1150461,1101312,1360178,1113892,1669966,1144807,17901153,17901153,2020/2/1,北京
23315018,8748152,20446040,8056851,27228883,832840,672874,899621,673660,657561,700355,659002,832131,661446,1119199,684740,15914713,15914713,2020/6/1,江西
59220971,16236970,49497531,14699734,61759549,1822544,1532752,1865620,1530451,1499379,1554280,1502154,1742147,1507167,2122226,1534613,39654514,39654514,2020/6/1,四川
2866440,2353350,2670669,2218457,4736881,472526,468983,517554,471531,468332,468806,468330,504616,469348,521647,470252,3618441,3618441,2019/4/1,天津
24423921,11123014,20785610,10230040,29275931,1398858,1309755,1648682,1321990,1298861,1312321,1299149,1559724,1303307,1781309,1320009,18920151,18920151,2020/1/1,云南
25771912,8374138,22442574,7748293,28947297,705614,581722,806891,590498,574325,601001,574901,751954,578921,982133,595736,17150575,17150575,2020/1/1,重庆
46000269,25007873,41559779,23509293,63171254,1625860,1505832,2233401,1537158,1497297,1525228,1497984,2081649,1507369,2600044,1540156,38089827,38089827,2019/9/1,山东
5079518,4274269,4562462,3943883,8126203,509441,494369,602505,502810,489413,493406,489509,572949,493750,620474,498564,5257860,5257860,2019/10/1,天津
2075624,1045571,1878494,1020824,2791591,218403,216790,223824,216668,216618,216694,216619,222230,216622,228544,216641,2209669,2209669,2019/3/1,宁夏
12423184,3195619,10826521,3054432,13746030,1350014,1320849,1323166,1319376,1319333,1322325,1319436,1320149,1319332,1357778,1319498,10782424,10782424,2020/3/1,内蒙古
56423795,15689091,47286635,14262441,59313927,1836604,1583157,1898485,1582140,1554280,1600972,1556614,1784952,1561462,2130188,1585609,38688102,38688102,2020/4/1,四川
20282792,11333806,18365833,10949088,28237024,2089856,2059631,2169548,2060676,2057820,2060362,2057836,2143772,2058452,2250344,2060073,21554069,21554069,2019/3/1,浙江
7099990,3082225,6457114,2856891,8732168,133167,104028,190124,106769,102469,112386,102545,167793,103293,265294,107323,4793237,4793237,2019/11/1,海南
34842120,13237939,31034758,11890844,39199151,707627,426675,780225,444561,412925,517190,415098,669674,422286,1118303,456265,19854771,19854771,2020/7/1,陕西
52311073,17921872,47211159,16529587,59364606,972555,648899,1176358,679375,631878,753195,635163,1050935,646592,1689546,702608,30778540,30778540,2020/5/1,湖北
28812926,15731716,26739259,15205166,41120959,1737436,1707258,2005110,1712836,1705554,1710278,1705592,1951368,1707186,2165929,1712356,28501607,28501607,2019/4/1,山东
7709980,3469594,6902803,3166509,9383420,144903,103144,209242,106938,100402,114095,100602,178253,101582,290684,107212,5007167,5007167,2020/5/1,海南
11086968,6658351,10058445,6246794,15604176,745735,732895,829210,734621,731800,734824,731859,799534,732304,863191,733989,11223388,11223388,2019/7/1,陕西
26350029,12336490,23685337,11570248,33640439,1206635,1162431,1436964,1171101,1158894,1169564,1159162,1366513,1161162,1557737,1168859,22304412,22304412,2019/9/1,湖北
21469021,6782256,18969954,6345259,24452483,689495,619145,780274,623677,615017,629015,615214,741875,617173,901005,625648,15514025,15514025,2019/9/1,重庆
54609709,14510179,45071352,13282233,55333689,1241846,809299,1159415,799442,774884,847858,777027,1041477,779958,1526629,807958,32703824,32703824,2020/7/1,湖南
10532688,9296988,9407195,8692225,17211602,730241,701678,929705,707135,698418,704375,698548,864930,699498,997944,703510,10336963,10336963,2019/10/1,山西
47228876,13208628,39268326,12210801,49099479,1224708,935791,1234084,929147,911015,952788,912140,1139895,914921,1511717,934056,30368516,30368516,2020/2/1,湖南
50454857,12450733,34971869,11425355,43904692,1665844,861479,1028115,748133,727562,766373,729378,936667,732103,1251083,750963,26890341,26890341,2020/5/1,安徽
4551035,3870163,4116227,3586520,7377277,481441,469949,564209,476714,466155,468877,466212,538402,469470,577263,472979,4911284,4911284,2019/8/1,天津
29462813,20854334,25641327,19132511,41809656,1078820,898813,1631398,942876,885090,928549,885897,1451850,896405,2005704,942515,21253558,21253558,2020/2/1,福建
31345745,14055956,28455811,13382104,40781059,2290889,2244815,2485182,2251320,2240468,2246709,2240474,2421941,2243332,2608204,2249249,29504720,29504720,2019/4/1,江苏
259547,66298,239641,63517,294308,49300,49189,49359,49186,49180,49195,49180,49275,49180,49455,49181,297013,297013,2019/4/1,西藏
33709024,7416677,27196712,6738046,32819704,633827,378555,549282,377801,370804,400636,371086,489368,371731,759310,383557,19237160,19237160,2020/4/1,贵州
4953266,2659225,4176240,2464797,6232200,220168,198160,268341,199790,196856,199213,196880,248889,197217,301036,199012,3674442,3674442,2019/10/1,宁夏
9184518,2373216,8182119,2292170,10411982,1180506,1171276,1171821,1170828,1170807,1171379,1170807,1170929,1170807,1183159,1170811,8887000,8887000,2019/7/1,内蒙古
15013777,5288718,12963400,4808110,16952129,643013,595393,707191,597977,591494,600082,591733,670499,592635,763606,598060,11533406,11533406,2020/2/1,新疆
5402950,2532537,4960519,2367258,6930882,137095,124112,181227,125174,123322,127308,123345,165337,123565,229611,125133,4169259,4169259,2019/8/1,海南
50478392,14345183,42623584,13135169,53943767,1768805,1585312,1862835,1587103,1565215,1594176,1566228,1768492,1571044,2041942,1588198,36383426,36383426,2019/12/1,四川
36542878,16905677,32829009,15930083,47354772,2293340,2220822,2577367,2231864,2211617,2223228,2211668,2482179,2216986,2747990,2228930,32488883,32488883,2019/5/1,江苏
26167772,8508096,22750976,7859482,29330438,714862,584552,815196,593644,576648,605201,577337,758149,581432,995398,599292,17291374,17291374,2020/2/1,重庆
25753118,11530643,21744795,10559704,30430112,1374436,1269832,1628502,1283199,1257270,1273480,1257685,1531533,1262144,1770181,1281156,19389791,19389791,2020/3/1,云南
29292181,12417385,24316429,11263606,33301528,1290648,1139967,1539189,1154906,1122644,1145983,1123280,1423633,1128414,1703754,1152496,20548001,20548001,2020/7/1,云南
16367753,9469298,14701667,8878749,22806967,1280569,1246607,1480674,1259738,1243447,1251074,1243591,1428232,1248231,1554162,1256928,15469909,15469909,2019/9/1,辽宁
17173156,12713536,15340841,12046190,26220562,1246112,1204043,1531254,1213221,1201639,1207183,1201588,1456921,1202973,1690767,1209389,15994791,15994791,2019/5/1,福建
15870740,7520832,14245260,7132641,20418011,1470982,1444677,1618456,1446920,1441339,1444517,1441371,1577866,1442059,1689315,1445842,14909105,14909105,2019/6/1,云南
9213424,5217240,8756032,5088073,13573663,1283865,1279878,1314860,1279969,1279555,1279928,1279556,1306622,1279591,1332944,1279712,11337357,11337357,2019/3/1,河北
74138955,35078305,59606208,31737433,85743261,2068516,1302147,2369609,1340546,1200068,1363013,1206069,2064713,1246011,3185119,1376649,43431990,43431990,2020/7/1,浙江
23993790,5450061,20045462,5044469,24507153,494898,414372,508629,414185,412278,418801,412311,476870,412431,605886,415328,16085596,16085596,2019/8/1,贵州
7002831,2979179,6386207,2769375,8600035,131055,103434,183783,105812,102031,111425,102089,163260,102718,258800,106418,4749303,4749303,2019/10/1,海南
17723087,5556131,15923405,5279699,20604921,687784,650383,767157,652662,648067,654675,648127,742852,649263,853776,653747,13884480,13884480,2019/6/1,重庆
59255663,32287606,52781205,29952734,79850072,1483498,1225662,2327683,1300153,1204380,1277404,1208035,2102043,1234194,2936336,1323736,43842395,43842395,2020/3/1,山东
53502330,18235860,48178933,16771815,60484009,977886,627408,1169848,658903,608509,740099,612197,1037576,623827,1704510,683423,31103179,31103179,2020/7/1,湖北
7697044,2026980,6925794,1969384,8858744,1145623,1140701,1140815,1140467,1140456,1140644,1140456,1140471,1140456,1146578,1140456,7948903,7948903,2019/5/1,内蒙古
15323340,9002709,13829825,8473750,21600352,1089101,1061230,1276206,1072601,1058629,1064654,1058727,1229382,1062781,1340752,1069923,14714522,14714522,2019/8/1,辽宁
50921284,17536538,46111391,16238309,58090626,955425,662129,1170395,691047,647422,757804,650095,1053627,661211,1663037,713298,30390476,30390476,2020/3/1,湖北
15885308,7389246,13236140,6804536,19297645,602559,531570,751008,540445,526987,534559,527212,694087,529676,834559,539264,12045570,12045570,2020/4/1,吉林
2589911,664724,2283749,626073,2840158,109987,107278,114276,107157,107041,107319,107042,111711,107045,118983,107144,2212394,2212394,2019/6/1,青海
11949770,5398739,11253154,5271385,16060779,1215223,1211485,1249745,1211831,1211189,1211600,1211190,1241057,1211294,1270869,1211488,13273791,13273791,2019/3/1,湖北
12424158,4377831,10934943,4014050,14316682,558383,532431,613902,533616,530127,534380,530204,587678,530617,649566,533082,10216422,10216422,2019/10/1,新疆
101968804,62407952,89711886,56165573,137971700,3945652,3431092,5525695,3616576,3369986,3522301,3376329,4973693,3453983,6398286,3617501,75886261,75886261,2020/5/1,广东
23678843,13333502,20741115,12252274,31570367,1162332,1054862,1454961,1084490,1041484,1071260,1043159,1358186,1055283,1623125,1085573,18817192,18817192,2020/8/1,辽宁
12989894,11688263,11589117,10925416,21382574,827525,788244,1085787,797533,783791,792712,784062,1005244,786071,1180193,793243,12540880,12540880,2019/12/1,山西
27811152,13023211,24945031,12176606,35346339,1206051,1153843,1459530,1164634,1149694,1162810,1150058,1381229,1152607,1596772,1162290,22992711,22992711,2019/10/1,湖北
24405893,17934814,21439845,16593633,35833676,1117962,1009854,1594675,1037326,1002031,1023756,1002145,1451531,1007237,1862734,1031288,19442395,19442395,2019/10/1,福建
28933021,20612003,25200085,18947739,41239178,1068215,896480,1613098,938628,883501,923972,884178,1439321,894296,1976825,937796,21074310,21074310,2020/1/1,福建
4320579,1162191,3405620,1003687,4218273,127526,92032,115542,91859,90816,92441,90839,102431,90863,121148,91499,2921375,2921375,2020/2/1,青海
52964188,18097052,47738377,16665792,59977199,978784,640353,1176137,671378,622278,749120,625781,1047003,637367,1701140,695302,30954774,30954774,2020/6/1,湖北
14787471,5188756,12781951,4726949,16712689,630347,585358,693435,587726,581663,589540,581860,658377,582742,747731,587752,11423046,11423046,2020/1/1,新疆
15306318,13014770,13576655,12065868,24226993,785312,726611,1085142,738840,719701,735333,720445,984273,722901,1211988,733916,13609586,13609586,2020/4/1,山西
12499295,7283417,11244893,6769056,17174029,768903,750211,865827,752732,748682,753454,748796,828178,749381,907649,751866,12062334,12062334,2019/9/1,陕西
16270703,13577393,14394580,12529340,25386524,766281,698304,1086575,712274,690219,708640,691129,974586,693857,1225497,706695,14020148,14020148,2020/6/1,山西
15589096,5394294,13413699,4891009,17444911,637863,584902,700579,587544,580616,590506,580912,661819,581838,760484,587772,11785107,11785107,2020/3/1,新疆
37363411,21172498,34683698,20464091,53781894,4295275,4261237,4513327,4266518,4258901,4262048,4258921,4463616,4261156,4634512,4264716,41970292,41970292,2019/3/1,广东
22852021,11854157,16379161,10080197,24574452,1186041,1002240,1173427,923746,884936,919076,886699,1051593,894230,1246323,913420,14300190,14300190,2019/12/1,上海
17059457,7748552,15518882,7379579,22205056,872427,853874,1029964,857489,852671,854871,852682,991055,853466,1108510,856533,15581934,15581934,2019/7/1,广西
31222081,18288179,28240801,16817938,42773629,1522673,1384480,1959439,1415179,1371450,1414544,1373030,1811926,1382150,2206303,1415243,24856925,24856925,2020/6/1,河北
16456951,7637345,13684939,7007728,19887034,585081,505938,738281,515851,500689,509723,500973,676966,503710,828353,514729,12249742,12249742,2020/6/1,吉林
25277839,11529475,22428457,10698539,31772472,958744,891398,1270069,910944,887036,899369,887258,1182757,892886,1438603,911563,19857235,19857235,2020/1/1,广西
22864375,10350545,20416204,9669911,28949956,931261,884001,1200937,897814,881043,889261,881161,1128500,884852,1339496,897389,18709657,18709657,2019/11/1,广西
15807778,9349142,14362403,8650229,21913460,1185516,1142063,1315969,1152839,1136834,1146176,1136939,1269118,1141724,1385540,1149415,14075639,14075639,2019/6/1,北京
19852485,11826621,17608109,10987148,27525254,1258226,1195934,1531350,1220897,1189681,1205401,1190288,1457299,1200227,1648859,1219471,17336141,17336141,2020/1/1,辽宁
20227666,12035035,17917824,11161989,27977043,1267444,1200716,1544979,1226607,1193765,1211117,1194539,1468044,1204776,1667394,1225239,17520084,17520084,2020/2/1,辽宁
87254237,31725768,78494184,29219764,101257797,1918039,1254880,2165529,1315091,1200599,1459961,1204442,1952366,1245575,3218291,1385220,50697027,50697027,2019/11/1,江苏
13707503,5131019,12394166,4896588,16787964,799972,763682,857366,764337,761500,768373,761541,835441,762105,945799,765843,11609260,11609260,2019/6/1,江西
29716003,15337861,27304596,14825546,41080239,1536490,1512062,1769690,1515440,1510500,1513557,1510507,1715833,1511373,1910726,1514290,28832763,28832763,2019/4/1,河南
50618503,31419196,46200488,29913633,73707908,4241838,4163093,4832671,4189232,4157060,4167751,4157121,4705587,4168195,5083070,4186149,51206378,51206378,2019/4/1,广东
14177324,12471496,12606383,11610383,22957476,816677,767814,1099425,778684,762219,774284,762674,1008059,764982,1210722,774098,13140987,13140987,2020/2/1,山西
7465953,5498736,6542128,5001288,10945139,440257,404408,555915,417539,393099,406680,393986,512216,401254,602581,413508,6354637,6354637,2020/8/1,天津
8101915,3598819,7202255,3259596,9738313,144460,95416,208635,99578,91990,108007,92240,173731,93290,294914,99751,5133423,5133423,2020/8/1,海南
13220904,4636890,11561779,4244596,15119416,566094,534837,624734,536441,532139,537405,532242,595798,532855,666617,536155,10616986,10616986,2019/11/1,新疆
14846638,6988602,12455901,6470620,18292738,593656,537678,737286,545156,534250,539418,534349,686908,536420,810339,543817,11643241,11643241,2020/1/1,吉林
84144801,53130082,74805725,48523731,117453668,4073205,3763057,5432379,3892675,3728782,3806881,3730509,5030404,3785748,6041581,3885309,68775305,68775305,2019/11/1,广东
309451,82023,283607,77735,349357,53217,53029,53310,53026,53019,53047,53019,53175,53019,53471,53022,339346,339346,2019/5/1,西藏
14164261,4282913,13125135,4174443,16911518,1137834,1129574,1155158,1129157,1128794,1129357,1128797,1148602,1128845,1178146,1129031,14041843,14041843,2019/3/1,湖南
14018348,6239578,12473911,5632913,16993675,420645,364081,485117,365754,359487,370900,359809,432136,360129,559271,364552,10257936,10257936,2020/8/1,甘肃
17982165,5955330,15258662,5341900,19515572,600422,521220,656101,524108,514879,530503,515376,607505,516460,732317,524825,12746620,12746620,2020/8/1,新疆
25576276,5730390,21204667,5281954,25836105,518635,417636,522648,417463,415001,423517,415048,486906,415233,633003,418959,16647779,16647779,2019/9/1,贵州
10478143,3673160,9388320,3583286,12594588,988521,980451,999451,980503,980140,980356,980139,994735,980191,1010142,980289,10942717,10942717,2019/3/1,安徽
76986032,48565844,68648501,44636895,108226603,4078831,3830090,5258637,3926438,3803144,3859698,3804027,4916748,3844007,5765419,3917185,65544894,65544894,2019/9/1,广东
4851718,4091571,4368449,3782248,7796369,500114,486558,587452,494094,482131,485541,482209,559453,485848,602983,490066,5116475,5116475,2019/9/1,天津
4702164,1245545,3630579,1047704,4459224,139158,89229,117643,87593,85978,88180,86018,98554,86042,120168,86862,3032536,3032536,2020/5/1,青海
15585450,6090112,13984174,5746174,19068608,813829,761639,886975,762993,758188,769251,758293,854611,759246,996420,765544,12660108,12660108,2019/8/1,江西
36411026,20028945,31430808,18868800,47981391,1980284,1850561,2314351,1863935,1838215,1853744,1838320,2211601,1845322,2547104,1864161,30770358,30770358,2019/5/1,浙江
31067914,12181588,27927519,11076268,35730150,639137,441495,751274,457516,432355,504968,433772,662891,440290,1030694,467046,18785933,18785933,2020/3/1,陕西
21823863,16093517,19247297,14991239,32441619,1131386,1049845,1532419,1068911,1044163,1058914,1044179,1413454,1047510,1755189,1063198,18313517,18313517,2019/8/1,福建
57182569,31709823,51050876,29478749,77775169,1507711,1276068,2346764,1347425,1257466,1321128,1260409,2130947,1285502,2919491,1367326,43107617,43107617,2020/2/1,山东
15804783,9581662,14687024,9157998,23170434,1457925,1438869,1627428,1441465,1437342,1440482,1437367,1585400,1437921,1701591,1440246,16457149,16457149,2019/5/1,河北
43973503,12077603,37604223,11122360,47371544,1633358,1512757,1722096,1513263,1499679,1516579,1500062,1649314,1502958,1842965,1512520,33432211,33432211,2019/9/1,四川
14261739,5197721,12630344,4944926,17214389,635419,619489,724829,622608,618755,620392,618746,702047,619313,772908,621449,12261900,12261900,2019/5/1,黑龙江
9314456,8292675,8359200,7800358,15416732,698894,678144,858049,681288,675789,679589,675853,805689,676369,909346,678663,9588298,9588298,2019/8/1,山西
21346957,8248228,18792752,7648888,25339002,855639,727709,933900,729414,716191,749006,717233,875936,719494,1126272,738513,15216286,15216286,2020/3/1,江西
6188722,3266453,5078233,2994243,7535157,219428,176539,276948,180195,174205,179575,174307,248750,175272,328989,179815,4087933,4087933,2020/3/1,宁夏
66046226,29049666,58113318,27046399,81331537,1419355,1122035,2047336,1160415,1100944,1176779,1102534,1831869,1115810,2710461,1180642,45527054,45527054,2020/3/1,河南
17857739,10926330,16089633,9974851,24690650,1155861,1090538,1315087,1106287,1082256,1099332,1082630,1249603,1089565,1407715,1101756,14976579,14976579,2019/8/1,北京
53076517,14256491,43897629,13076902,54065627,1237590,836286,1175813,827303,804152,870153,806121,1062825,808986,1524721,835124,32224103,32224103,2020/6/1,湖南
11158569,5068889,10101797,4596030,13974138,488967,460336,548757,461996,458285,463432,458391,510521,458649,596452,461033,9050746,9050746,2020/1/1,甘肃
20038482,8568163,18398672,7969842,24751836,554279,503522,666823,508743,500690,519242,500993,620795,502798,803571,511714,15137408,15137408,2019/10/1,陕西
5152287,2272786,4811163,2159211,6765829,448150,444959,462718,445045,444789,445108,444790,456045,444808,472757,444915,5305255,5305255,2019/4/1,甘肃
39688316,10955983,34257643,10169707,43332660,1471917,1383958,1562360,1384827,1374579,1385496,1374766,1502540,1377056,1658961,1383959,31309315,31309315,2019/7/1,四川
24277487,12487120,17147432,10598543,25754134,1239905,1035437,1213584,949627,907486,947636,909917,1082015,917480,1296499,939224,14806484,14806484,2020/1/1,上海
20523450,12463413,18301007,11227768,27827855,1172087,1068442,1351247,1091219,1055511,1087209,1056780,1264847,1066876,1487115,1087455,15872042,15872042,2019/11/1,北京
61497957,32889613,54671114,30455870,82011103,1461626,1175582,2309223,1253539,1151789,1234296,1156174,2074245,1183358,2954363,1280398,44624814,44624814,2020/4/1,山东
4860823,1285885,3732844,1069354,4572359,143228,89709,118947,86677,84508,86984,84563,97544,84578,120604,85478,3082175,3082175,2020/6/1,青海
96827175,60368563,85399697,54611040,132761845,4046676,3594837,5588221,3768532,3542267,3671104,3547137,5079987,3621191,6389150,3768239,74171227,74171227,2020/3/1,广东
7768307,4239734,7208408,4079127,10927989,807693,803481,842558,803928,803204,803930,803212,832527,803317,861154,803744,8749048,8749048,2019/4/1,陕西
23099141,16672514,20313848,15457410,33837622,1147634,1051833,1567045,1073592,1045146,1063269,1045210,1436547,1048981,1810435,1067623,18839354,18839354,2019/9/1,福建
22020731,12721756,19388687,11735123,29846687,1233142,1146393,1522632,1175258,1136430,1160009,1137738,1435202,1149501,1666093,1174710,18227697,18227697,2020/5/1,辽宁
5892909,3146746,4863857,2898194,7261496,217076,180729,274469,183960,178740,183049,178812,248983,179651,322576,183577,4000109,4000109,2020/1/1,宁夏
19494204,4379307,18021719,4242801,22001584,1456586,1446564,1470245,1446285,1445697,1446273,1445703,1463088,1445826,1484564,1446091,19293560,19293560,2019/3/1,四川
6606798,5157568,5833128,4709965,10013389,475441,446941,587439,459052,437592,448127,438262,548382,445059,625623,455119,5957924,5957924,2020/5/1,天津
13571451,6333105,11532642,5882315,16871842,592375,553617,727034,559506,551289,554800,551347,683282,552785,786371,557792,11067971,11067971,2019/11/1,吉林
26737632,11943212,23643648,11035440,33213178,978513,897102,1299703,919141,891695,907540,892067,1204323,898361,1485323,920108,20479574,20479574,2020/3/1,广西
26937596,8653719,23351253,7976238,29992624,714382,571125,807855,580247,562288,594272,563153,748145,567300,996700,586419,17540231,17540231,2020/3/1,重庆
38717916,11008224,29161176,10212254,37375898,1304017,902475,1101290,868048,853547,874125,854206,1031434,856887,1257695,868600,24177304,24177304,2019/12/1,安徽
110015248,39471040,96975723,35662665,123081544,2514420,1202114,2423146,1286872,1093297,1654206,1105726,2106750,1170492,3995544,1395587,56144672,56144672,2020/4/1,江苏
7233894,3225965,6547523,2980366,8908002,137466,105163,198806,108339,103316,113878,103415,174106,104298,274674,108772,4846977,4846977,2019/12/1,海南
4242525,1127693,3364075,983634,4162550,121533,91152,112186,91100,90209,91732,90227,101413,90253,119471,90828,2896650,2896650,2020/1/1,青海
12960251,6049826,11059918,5631794,16189602,591502,558106,718370,562940,556070,558875,556110,677771,557158,770628,561148,10783073,10783073,2019/10/1,吉林
24973464,10016251,22837904,9277384,29768034,519876,423032,646225,433191,418721,456232,419270,588051,423448,849207,439770,16809154,16809154,2019/11/1,陕西
7434578,3508358,6838809,3222972,9642636,440375,430553,477888,431231,429965,431408,429979,457913,430063,498796,430686,6783167,6783167,2019/7/1,甘肃
53512729,13006672,36681799,11888383,45904311,1746974,841621,998203,699252,676002,721925,678165,897507,681009,1244437,702520,27643125,27643125,2020/7/1,安徽
25490738,9028139,21445983,8284670,28740858,660941,520688,773095,532305,513393,534762,514192,704137,517026,936978,533892,17115574,17115574,2020/4/1,黑龙江
12337015,7151045,11368383,6738563,17387211,1169536,1150016,1254772,1155446,1148460,1151539,1148476,1228834,1150637,1293550,1153643,12331750,12331750,2019/4/1,北京
69397024,45024101,62256663,41770159,99679336,3850847,3661731,4917953,3738659,3641741,3680390,3642155,4634964,3674616,5346895,3730698,61805178,61805178,2019/7/1,广东
13580257,6137992,12113031,5545463,16591550,431044,379545,497307,381282,375389,385734,375692,445864,375994,566981,380136,10100724,10100724,2020/7/1,甘肃
7501191,3575244,5889696,3234934,8451821,224023,146041,262428,149843,141639,151170,141823,226942,143040,329268,149698,4386931,4386931,2020/8/1,宁夏
393564,113190,358686,105636,444465,60207,59847,60366,59838,59820,59884,59822,60082,59821,60600,59832,411109,411109,2019/8/1,西藏
6418029,3334609,5255272,3050314,7722187,217906,170005,273788,173787,167374,173701,167500,244251,168511,328912,173432,4146677,4146677,2020/4/1,宁夏
27774042,11122351,25240768,10241784,32685383,549151,416007,683272,429613,410238,460200,411013,612599,416607,918824,437094,17773671,17773671,2019/12/1,陕西
44254203,15965411,40309435,14870614,51686339,914137,727184,1162974,749415,717758,784340,719099,1063867,727274,1554761,764103,28546678,28546678,2019/12/1,湖北
48972635,21910969,44437463,20796541,62800592,1260410,1151017,1706047,1165572,1144398,1171794,1144591,1585761,1149278,2124187,1171800,38435973,38435973,2019/7/1,河南
24603629,8088111,21517680,7496447,27849283,697517,588883,804469,597422,582461,605745,582919,752798,586713,967665,601848,16717409,16717409,2019/12/1,重庆
532825,159073,480927,146330,595486,89565,88652,89590,88644,88594,88771,88606,89043,88601,90173,88633,534667,534667,2019/12/1,西藏
11648059,5507275,10026123,5161492,14775486,579436,556092,690409,559209,554658,556294,554676,656581,555262,730313,557545,10147444,10147444,2019/8/1,吉林
20841731,12254151,18417876,11342318,28609775,1264315,1190482,1544840,1217213,1182394,1202017,1183377,1464113,1194153,1674617,1216292,17772571,17772571,2020/3/1,辽宁
31321025,13074765,27431950,11949186,37520328,1000743,870409,1334794,898459,861373,889918,862093,1216451,870376,1573214,901809,22267527,22267527,2020/8/1,广西
10177656,5746757,9285823,5444736,14146049,795137,785436,862786,786589,784613,786710,784639,841088,784968,894520,786172,10503330,10503330,2019/6/1,陕西
50744905,26591257,42333351,24554832,63255758,1940748,1635446,2333073,1657035,1599048,1648206,1599928,2152234,1615572,2736596,1662507,36583039,36583039,2019/9/1,浙江
6991997,3460670,5574820,3148913,8092588,222904,159048,269370,162831,155527,163283,155678,236854,156791,330142,162580,4269364,4269364,2020/6/1,宁夏
77202668,31485455,67525727,29086186,92022220,1426438,969900,2027718,1012870,936124,1064279,938856,1768214,954609,2900135,1048137,49240086,49240086,2020/8/1,河南
18289454,7060891,16284249,6596235,22019648,850527,769496,935143,772139,763490,783011,763842,890775,765614,1081775,777249,13928176,13928176,2019/11/1,江西
32130909,12488442,28803523,11314560,36719201,658368,437966,761009,454687,427678,508519,429341,666265,436023,1056226,464928,19097524,19097524,2020/4/1,陕西
17234294,14066431,15205368,12933158,26490202,739947,661182,1074270,676759,651913,673484,652979,952715,655946,1228146,670785,14398652,14398652,2020/8/1,山西
28371266,16729934,24974264,14821238,37159906,1186048,970780,1382469,1002871,941453,1025444,947728,1241705,960296,1651576,1004948,19004684,19004684,2020/7/1,北京
107233362,64261045,94054688,57575696,143223173,3832458,3244832,5437653,3442375,3174085,3352002,3181539,4843790,3263555,6387973,3444563,77570203,77570203,2020/7/1,广东
46161172,12903701,39316407,11855954,49648925,1655823,1516780,1752498,1518215,1501722,1522109,1502227,1671912,1505833,1891755,1517661,34447307,34447307,2019/10/1,四川
