活跃借记卡数量,活跃信用卡数量,活跃借记卡银行总和,活跃信用卡银行总和,活跃银行,拥有超过5张借记卡的用户数,拥有超过10张借记卡的用户数,拥有超过5张信用卡的用户数,拥有超过10张信用卡的用户数,拥有超过50张信用卡的用户数,拥有超过5家借记卡银行的用户数,拥有超过10家借记卡银行的用户数,拥有超过5家信用卡银行的用户数,拥有超过10家信用卡银行的用户数,拥有超过5家银行的用户数,拥有超过10家银行的用户数,独立用户数,短信条数,dt,prov
57698241,15944670,48300513,14465051,60438717,1828020,1558359,1881791,1556838,1527523,1577943,1530072,1763548,1534994,2125975,1560656,39125232,39125232,2020/5/1,四川
25983955,9223692,21826550,8446411,29232531,656297,507254,767744,519333,499358,522542,500232,695500,503176,937919,521061,17287306,17287306,2020/5/1,黑龙江
8567699,3870603,7839440,3528547,10865018,484454,470033,527438,470895,469093,471385,469130,502434,469227,553738,470189,7520939,7520939,2019/9/1,甘肃
33311257,8541895,29172266,8072294,36509956,1507281,1456341,1579248,1457285,1451781,1456693,1451824,1542424,1453204,1646277,1456836,27853921,27853921,2019/5/1,四川
31478860,7118784,25480391,6492989,31025380,606143,401301,560522,401399,395398,416800,395598,506330,396166,743378,405930,18585432,18585432,2020/2/1,贵州
50885066,28012140,45766314,26194978,69700035,1573015,1413655,2313553,1464882,1401897,1442145,1403227,2133807,1420235,2767571,1474186,40356558,40356558,2019/11/1,山东
20734958,10377851,19529811,10146110,29230484,1752226,1740196,1835907,1741089,1739563,1740922,1739568,1816951,1739828,1900589,1740568,22656720,22656720,2019/3/1,山东
21805469,10225050,19845480,9730409,28417684,1216194,1192595,1393479,1197452,1190687,1195506,1190728,1347477,1191981,1482268,1195899,19852643,19852643,2019/6/1,湖北
55078762,13208566,37614067,12055904,46923620,1784398,829753,979145,673720,649592,700093,651896,874902,654746,1239479,677614,28047064,28047064,2020/8/1,安徽
20647402,8106526,18233932,7534033,24709127,855349,740411,941278,743057,730611,759911,731445,886113,733753,1124140,751294,14966209,14966209,2020/2/1,江西
11469745,6827152,10494547,6528981,16581756,1101662,1088984,1231337,1094520,1087891,1089933,1087895,1205049,1089895,1272955,1092946,12110331,12110331,2019/5/1,辽宁
5171758,1348243,3924745,1103854,4781603,147406,88667,117492,83099,79505,82561,79572,93276,79584,118885,80656,3175911,3175911,2020/8/1,青海
12726856,3248396,11070420,3103030,14032156,1338696,1306775,1309201,1305123,1305078,1308443,1305195,1305968,1305077,1346560,1305276,10910634,10910634,2020/4/1,内蒙古
7356028,3304576,6636524,3044830,9039747,141128,106465,203694,109805,104404,115667,104528,177370,105438,280701,110212,4893215,4893215,2020/1/1,海南
17320091,5781607,14745834,5200676,18927114,624545,553159,681723,555849,547497,561357,547932,636367,548938,753128,556493,12502647,12502647,2020/6/1,新疆
24049768,8901426,21059175,8180970,27920491,820591,648877,882342,649343,632224,678684,633787,811652,636302,1111784,661123,16184715,16184715,2020/7/1,江西
34141739,22658234,29470353,20521305,46357680,1012356,742503,1581833,797092,719699,793428,721446,1359593,734366,2047353,800039,22511711,22511711,2020/8/1,福建
6611683,3397675,5400370,3101356,7894399,216624,164637,271576,168571,161777,168743,161914,240826,162981,329282,168281,4204379,4204379,2020/5/1,宁夏
34045033,18950640,31307873,18157865,48356137,1698428,1649463,2103007,1661559,1646378,1654977,1646451,2019551,1649960,2330365,1661612,31705829,31705829,2019/5/1,山东
11409958,5210182,10313321,4715439,14274432,490598,459689,552865,461507,457460,463284,457603,512408,457851,602774,460476,9175324,9175324,2020/2/1,甘肃
13004249,3298825,11295629,3148083,14296654,1319021,1284800,1287375,1282998,1282953,1286580,1283084,1283900,1282952,1327291,1283174,11016695,11016695,2020/5/1,内蒙古
15778779,13292143,13980277,12292697,24798008,772707,709659,1082386,722773,702234,719169,703051,976013,705670,1214800,717526,13814110,13814110,2020/5/1,山西
14254880,6927312,12934907,6608506,18724048,1374763,1355403,1504883,1357065,1353013,1355177,1353026,1471337,1353529,1566749,1356201,13900001,13900001,2019/5/1,云南
10690195,6820429,9762948,6616849,15922988,1406090,1394625,1458965,1395376,1394005,1394893,1393991,1441678,1394065,1505851,1394431,12001728,12001728,2019/3/1,福建
16677034,7853600,15427637,7580539,22230133,1209380,1199153,1312895,1200999,1198465,1200099,1198476,1288682,1198947,1365392,1200182,16693787,16693787,2019/4/1,湖北
45145167,19982827,41316440,19116741,58333183,1326524,1241625,1711595,1252144,1236716,1258399,1236832,1616725,1240346,2095054,1257548,36520323,36520323,2019/6/1,河南
40608894,19106752,36221080,17931807,52437971,2278480,2181340,2598024,2193942,2167088,2184806,2167245,2484263,2174155,2807501,2190904,34803559,34803559,2019/6/1,江苏
3305463,876658,2785888,801481,3460808,104910,98449,110726,98345,98026,98677,98029,105585,98041,116868,98252,2553086,2553086,2019/9/1,青海
51468521,22790144,46467834,21557072,65417662,1283760,1155902,1754845,1172891,1148128,1180099,1148389,1621677,1153770,2199441,1179856,39611123,39611123,2019/8/1,河南
25187909,15725132,22897482,14614324,35951220,1577627,1501664,1965881,1522605,1494619,1513871,1495156,1854681,1501413,2134446,1520563,22203271,22203271,2019/12/1,河北
44517477,11672164,31884870,10784310,40494037,1504546,907057,1092590,838626,821583,848933,822688,1014004,825452,1277434,840139,25572637,25572637,2020/2/1,安徽
5232210,2804343,4386601,2593950,6544259,218890,193225,270791,195381,191753,194605,191791,249627,192301,307823,194760,3776871,3776871,2019/11/1,宁夏
8548606,2175583,7654701,2106153,9716027,1173128,1166109,1166313,1165776,1165758,1166125,1165758,1165786,1165758,1174427,1165758,8491778,8491778,2019/6/1,内蒙古
25099232,7550422,20512453,7187014,26525749,1052428,938767,1053979,935327,931291,936316,931328,1023399,932110,1126040,934741,19140514,19140514,2019/6/1,安徽
25502556,18735846,22320384,17264296,37220732,1110690,987640,1617911,1020789,978618,1004479,978862,1463051,985818,1906136,1015661,19852805,19852805,2019/11/1,福建
23792622,14646213,21121147,13152876,32227090,1252633,1113446,1454053,1141444,1095945,1142586,1098427,1347526,1110806,1638427,1139303,17624322,17624322,2020/1/1,北京
17506788,10578513,16194811,10049773,25427765,1512213,1486627,1712448,1490361,1484475,1489254,1484519,1659529,1485307,1798510,1488744,17647700,17647700,2019/6/1,河北
32607853,7273942,26331039,6623037,31933657,618634,388867,553763,388514,382048,407427,382287,496667,382890,750080,393695,18918454,18918454,2020/3/1,贵州
37785044,20922874,34555972,19939607,53146097,1661612,1595263,2131676,1612012,1590765,1603778,1590917,2029179,1595894,2400487,1612502,33853586,33853586,2019/6/1,山东
61157447,27429864,54274555,25671905,76470981,1357793,1127234,1972762,1161305,1112038,1169765,1112925,1783991,1124559,2565819,1176844,43679086,43679086,2019/12/1,河南
20859704,10371623,19584958,10140372,29133451,1594113,1585206,1667996,1585560,1584650,1585589,1584650,1649405,1584780,1722818,1585160,22672632,22672632,2019/3/1,河南
3585583,1483048,3395595,1429953,4719898,453855,452840,457546,452836,452785,452843,452786,455527,452788,460413,452799,4135923,4135923,2019/3/1,甘肃
58663948,26026741,52300872,24412798,73520925,1347794,1151060,1925377,1180172,1138504,1188450,1139136,1752152,1148746,2475679,1193269,42705218,42705218,2019/11/1,河南
7578337,2395605,7101070,2343346,9271383,670689,664758,677200,664740,664530,665207,664530,674344,664561,695886,664676,7652101,7652101,2019/3/1,江西
18542989,8298180,16757966,7869693,23854710,904676,881135,1083942,886102,879665,882770,879685,1037693,880721,1173038,884850,16486965,16486965,2019/8/1,广西
49357746,17225582,44783251,15982731,56656495,950789,686771,1178142,714087,673679,771963,675890,1066419,686274,1647107,734445,29999777,29999777,2020/2/1,湖北
10669211,3964928,9522758,3669632,12686989,529343,513193,581064,514102,511661,514228,511701,560427,512010,608100,513578,9291116,9291116,2019/8/1,新疆
104663364,63359929,91931357,56902320,140661129,3897266,3345849,5490921,3537186,3279674,3444788,3286613,4918612,3366574,6403908,3539214,76758667,76758667,2020/6/1,广东
88609901,56053471,78621862,51003965,123209411,4019541,3664278,5482599,3816323,3624615,3718063,3627066,5040998,3692923,6163552,3811924,70641927,70641927,2019/12/1,广东
27397107,17208714,24783385,15911299,38900488,1578641,1480166,2005009,1506866,1470538,1497936,1471572,1874878,1479446,2202136,1505025,23350525,23350525,2020/3/1,河北
6025073,5260424,5546164,5082294,10256603,735909,729798,794865,730088,729211,729868,729212,777662,729266,816348,729540,7365389,7365389,2019/4/1,山西
23659933,11263306,21414709,10635948,30710869,1169483,1138822,1373868,1145278,1136323,1143163,1136447,1316305,1138001,1473432,1143361,20914337,20914337,2019/7/1,湖北
56241912,31244472,50261092,29100724,76680203,1495246,1277018,2323479,1345614,1259952,1317770,1262408,2115073,1286708,2877427,1363917,42753897,42753897,2020/1/1,山东
7944978,3562274,7080064,3232339,9602542,145601,99409,210808,103517,96215,111327,96454,176938,97495,294864,103667,5081306,5081306,2020/7/1,海南
5982809,2259505,5448443,2201405,7541012,564611,561577,577906,561560,561420,561492,561420,574141,561429,585288,561469,6375335,6375335,2019/3/1,吉林
